id,price
24242,9.168916
67622,13.897355
48993,12.39799
31394,14.612244
49832,2.9337823
24386,9.934256
60421,10.641384
18603,5.111882
14994,6.858835
64102,110.75942
9664,19.357706
781,11.011778
50277,6.3216643
857,14.469809
66661,12.260698
1440,14.814015
49574,5.136781
34902,35.941948
59376,13.886125
19778,7.687887
65605,12.52876
59735,14.591411
26488,16.850391
26804,4.442926
28584,11.935442
24192,6.5106387
5126,21.828129
20214,10.891153
7385,7.6924596
65241,9.394434
21779,5.6942344
7872,5.7802634
30656,12.5140915
42264,22.774351
38837,7.6615386
46177,7.611312
63486,83.43762
29307,11.249372
63594,28.743084
8354,7.4331765
28834,7.9049835
38566,11.539206
25262,7.9049835
13096,7.517186
36272,9.610169
35705,19.745373
55609,7.2487726
43129,7.6492147
46921,40.50762
54281,6.403889
45856,21.200287
23771,19.222273
31648,6.272039
63177,11.744299
22858,8.035929
41398,32.42872
36832,14.539789
14980,9.296802
66797,10.41249
44300,9.839817
63943,15.542788
55082,26.032686
18950,14.062371
38946,6.3037376
66434,14.609705
56344,9.462408
2625,5.7693615
24579,5.712668
56866,32.278355
5549,100.79743
32091,8.258235
60932,10.519854
25725,4.732089
67945,9.088191
57275,19.358608
22240,7.1228743
34633,15.787672
62999,12.594091
27865,6.445285
10781,31.090097
62384,27.507118
62882,7.368348
44822,5.5903087
15928,7.973714
61693,18.885422
33871,108.95475
52589,6.3787036
35308,13.073943
37048,9.536431
44966,17.801344
67281,17.913246
12059,8.19725
22337,7.6438627
56824,7.1191525
43336,9.624517
57903,10.815
13557,8.241678
13699,8.278269
66374,8.155976
24536,22.976099
24012,15.429173
15752,9.408203
66363,152.94472
13002,8.514093
37,9.878589
22465,13.243828
66554,71.900665
9739,5.833705
20994,6.0708914
59659,6.2429967
59851,6.870892
68121,8.363525
49236,23.48359
58659,10.3406725
53902,18.01438
34372,6.849443
12250,10.31588
22488,7.800668
38123,13.020222
39605,47.046227
56895,9.683385
29926,11.812101
14169,10.458312
36680,6.3618875
45056,9.248813
386,124.16173
58742,9.150918
3954,22.55222
51092,12.581268
13836,15.844121
49593,17.257408
66827,144.9376
22024,11.713998
31067,8.626684
14066,10.116385
46756,10.22657
3947,21.815989
34287,6.673406
6195,8.131223
39269,13.713657
406,28.151861
5474,9.512055
26743,11.88934
55642,14.54502
25954,15.660684
46880,11.916483
9472,11.013366
60890,8.667546
18088,11.669121
53164,50.916706
11103,8.099975
11823,18.302448
39130,6.793153
29407,7.7695265
47520,6.347704
26253,13.296972
47635,11.853256
12454,3.6348722
970,6.542782
48488,12.119447
42636,7.8741856
63038,11.744299
31712,9.829075
31976,19.405312
32336,8.300375
28178,6.445285
51079,16.583273
48681,8.829504
47816,6.7975717
64444,29.656736
38073,7.0905294
28445,11.525733
4357,16.481438
60143,8.534925
12362,7.1053042
41913,9.795899
35362,6.3618875
53589,3.8499076
16108,13.691817
63064,198.99557
5045,8.871119
48002,14.121182
58855,6.004452
20378,17.409363
57450,6.512766
65029,5.9901314
11627,7.207546
60701,9.639003
2953,7.4571443
21363,6.6961536
42863,31.726631
17284,9.811775
39192,9.293557
35891,7.4760246
20858,13.071856
34993,19.630062
46894,17.370821
55489,7.369713
12626,12.233632
21490,13.411396
58698,14.136208
25797,8.490765
33524,20.373922
3017,38.04519
5706,5.1109195
30001,14.056085
23545,14.121163
54928,6.8914437
68038,14.311623
45226,12.63057
52350,10.109178
27341,4.595383
15453,7.4735637
35772,13.543169
1,128.67616
31587,6.4511137
8408,7.530617
67562,14.1304455
20690,4.982386
63402,20.912506
62609,14.670313
50095,9.456204
9041,15.7162485
33238,4.4640894
9534,5.5782
40558,252.15938
59166,7.604456
43674,6.5724397
37287,5.172217
51112,16.583448
40220,10.032959
66907,27.50067
66472,27.31363
10319,15.985536
60876,8.669007
59160,10.142874
57858,12.286261
9271,60.124794
67583,13.897355
33111,6.725507
17660,7.9049835
64229,124.4902
14225,19.502739
26541,6.597494
8038,15.35347
65633,6.8054185
6042,12.50589
51300,34.78522
63968,8.983358
23859,12.589174
33755,6.954344
50750,6.5304594
67455,12.757628
3079,11.332936
31593,9.549155
48289,23.935055
41606,7.595195
24813,8.733889
56048,10.24275
64196,41.41315
38886,35.191906
32890,8.185991
34019,8.73091
21345,6.471688
